# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lr_model_punitive_model
# start_datetime = 2025-03-18 19:28:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yg/6cnm4nrd727_h_wts71sw3j40000gn/T/Rtmpi04oWE/standata-cac65c3f9136.json
# init = 2 (Default)
# random
#   seed = 1457
# output
#   file = /Users/Juan/git/Bayesian_Modeling/Assignments/HW1/lr_model_sampling_outputs/lr_model_punitive_run-1.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = -1 (Default)
#   profile_file = /Users/Juan/git/Bayesian_Modeling/Assignments/HW1/lr_model_sampling_outputs/lr_model_punitive-profile-1.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lr_model_punitive_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,sigma
# Adaptation terminated
# Step size = 0.144615
# Diagonal elements of inverse mass matrix:
# 0.00419036, 0.00541722, 0.00134092, 8.11032e-05, 0.000777152
295.486,0.980582,0.144615,5,31,0,-294.675,0.229661,0.311406,0.0559301,0.0378797,0.358667
294.371,0.991625,0.144615,4,15,0,-292.535,0.21131,0.344581,0.0775019,0.030526,0.351272
297.616,0.999042,0.144615,4,31,0,-293.61,0.213874,0.259176,0.00790748,0.0518202,0.354559
295.222,0.945422,0.144615,5,31,0,-293.385,0.297807,0.220703,0.0309557,0.0327714,0.348977
295.151,0.679063,0.144615,5,31,0,-288.518,0.109811,0.347301,0.0414572,0.0522129,0.359906
295.161,0.774288,0.144615,5,31,0,-289.322,0.209873,0.337129,0.0180948,0.0488429,0.332124
296.432,1,0.144615,4,23,0,-294.23,0.191193,0.376083,0.0283502,0.04567,0.348005
297.11,0.993446,0.144615,4,23,0,-292.541,0.145517,0.406155,0.0280787,0.0416429,0.348268
297.96,0.999979,0.144615,5,31,0,-296.45,0.173077,0.366897,-0.0141229,0.050618,0.344622
296.879,0.992338,0.144615,5,31,0,-294.816,0.281217,0.234892,0.00858619,0.0401963,0.355143
297.191,0.962989,0.144615,5,31,0,-295.758,0.228181,0.358212,-0.0463885,0.0487245,0.350364
296.218,0.694836,0.144615,3,15,0,-291.269,0.226818,0.326218,-0.0236156,0.0408198,0.342991
296.51,0.98046,0.144615,4,31,0,-289.576,0.255316,0.321357,-0.0401742,0.0493094,0.344865
296.469,0.96188,0.144615,5,31,0,-294.878,0.176512,0.308617,0.0290963,0.0463852,0.362258
297.597,0.807586,0.144615,3,7,0,-293.927,0.175325,0.320416,0.0250076,0.0510365,0.361257
295.69,0.979884,0.144615,4,31,0,-293.294,0.0706433,0.460005,0.0289139,0.0565529,0.363778
295.151,0.977406,0.144615,4,15,0,-294.797,0.0458988,0.469036,0.0315734,0.0579368,0.36199
295.406,0.829827,0.144615,4,15,0,-292.467,0.107396,0.360528,0.0123521,0.0566806,0.344898
295.898,0.990163,0.144615,4,31,0,-292.334,0.20033,0.245473,-0.00407277,0.0606972,0.335878
295.104,0.962432,0.144615,4,15,0,-293.445,0.262676,0.189026,0.00866273,0.0544526,0.33599
295.41,0.982091,0.144615,5,31,0,-293.37,0.277836,0.351842,-0.0468603,0.0339941,0.360978
296.265,0.933508,0.144615,4,31,0,-292.145,0.2224,0.307193,-0.0410124,0.0496368,0.338502
293.331,0.931851,0.144615,4,15,0,-292.059,0.22965,0.234213,0.0307265,0.0421436,0.328709
295.591,0.997209,0.144615,5,31,0,-291.988,0.273977,0.220382,0.0172076,0.0466459,0.33546
296.189,1,0.144615,5,31,0,-295.4,0.149546,0.444999,-0.00682281,0.0491391,0.363499
296.11,0.980148,0.144615,5,31,0,-293.164,0.252006,0.309311,-0.062924,0.0514526,0.359328
295.865,0.924352,0.144615,5,31,0,-294.114,0.171032,0.327301,0.0623592,0.0391021,0.343629
294.865,0.976259,0.144615,5,31,0,-291.803,0.233593,0.296788,-0.0710982,0.0534231,0.350162
294.762,0.934811,0.144615,5,31,0,-292.069,0.23398,0.353447,-0.0338642,0.0357744,0.351529
295.793,0.979299,0.144615,5,31,0,-291.806,0.0644616,0.424504,0.0141567,0.0622258,0.352913
297.564,0.899846,0.144615,5,31,0,-291.62,0.259579,0.25502,0.00715222,0.0430842,0.353566
295.983,0.99195,0.144615,4,15,0,-295.465,0.297821,0.181771,-0.00797707,0.0463252,0.357389
294.805,0.868055,0.144615,4,15,0,-292.508,0.318782,0.142212,-0.019625,0.0479408,0.354614
294.882,0.987463,0.144615,5,31,0,-292.442,0.317142,0.153028,-0.00455317,0.0491804,0.346487
294.302,0.887933,0.144615,5,31,0,-292.285,0.056776,0.52733,0.023539,0.0462335,0.351115
296.451,0.997024,0.144615,5,31,0,-291.767,0.288714,0.226069,-0.0226831,0.0426327,0.354221
294.24,0.996643,0.144615,4,15,0,-292.986,0.298748,0.254167,-0.0174175,0.0372503,0.374447
296.782,0.993209,0.144615,5,31,0,-293.313,0.251465,0.293299,-0.0369735,0.0464032,0.336386
297.427,0.97646,0.144615,5,31,0,-295.296,0.145555,0.332477,0.0394645,0.050327,0.355386
298.089,0.993267,0.144615,4,31,0,-296.154,0.215245,0.308527,0.0132844,0.0451563,0.355761
296.122,0.997637,0.144615,5,31,0,-295.734,0.0600265,0.482443,0.0404194,0.0530345,0.345844
297.015,0.809923,0.144615,5,31,0,-292.624,0.202348,0.260182,0.036617,0.0528106,0.357548
297.224,0.999799,0.144615,5,31,0,-296.177,0.213507,0.392335,-0.0180058,0.0402756,0.340006
297.078,0.996288,0.144615,5,31,0,-296.102,0.147468,0.30951,0.026424,0.0580655,0.3597
296.643,0.999682,0.144615,5,31,0,-295.546,0.166908,0.324767,0.059096,0.0449997,0.362265
296.92,0.937327,0.144615,4,15,0,-295.563,0.138471,0.372286,0.036369,0.0455442,0.355935
297.013,0.998383,0.144615,4,31,0,-295.326,0.205826,0.315581,0.0330558,0.0392305,0.356143
296.915,0.84637,0.144615,5,31,0,-293.005,0.160949,0.367263,-0.0207697,0.0568837,0.361068
295.291,0.874203,0.144615,5,31,0,-294.227,0.229552,0.248657,0.0272771,0.0413128,0.337379
296.428,0.956406,0.144615,4,19,0,-294.292,0.187158,0.320633,0.0027826,0.0456202,0.340975
297.595,1,0.144615,2,3,0,-296.399,0.195201,0.326466,0.00469993,0.0453368,0.340586
298.092,0.990712,0.144615,3,15,0,-296.782,0.206602,0.314878,0.0171659,0.048724,0.348568
296.925,0.998547,0.144615,5,31,0,-296.431,0.147629,0.403834,0.0356509,0.0439322,0.36279
296.496,0.93058,0.144615,3,7,0,-296.119,0.155777,0.407138,0.0388973,0.0444615,0.362425
296.79,0.990373,0.144615,5,31,0,-295.722,0.142348,0.316494,0.0184499,0.0566284,0.339556
295.536,0.922285,0.144615,5,31,0,-294.938,0.236575,0.355024,0.00229372,0.0428143,0.362994
296.632,0.996531,0.144615,3,11,0,-294.449,0.225083,0.352385,0.0021034,0.0399728,0.366252
293.117,0.82758,0.144615,4,15,0,-290.316,0.206027,0.470037,-0.0129835,0.0278283,0.365561
296.326,0.976817,0.144615,5,31,0,-291.353,0.246597,0.267522,-0.0440178,0.0571511,0.345429
296.501,0.957402,0.144615,5,31,0,-294.123,0.197889,0.297207,-0.00943257,0.053006,0.331477
296.319,0.993742,0.144615,5,31,0,-293.948,0.250986,0.314925,-0.00687862,0.0364231,0.362778
297.272,0.968976,0.144615,5,31,0,-295.38,0.175395,0.320835,0.000156402,0.0573979,0.337409
297.512,0.966679,0.144615,4,31,0,-294.48,0.136215,0.417424,0.0408712,0.0446704,0.346128
298.186,0.927372,0.144615,3,15,0,-296.298,0.157395,0.385319,0.0254358,0.0473573,0.348389
296.723,0.931635,0.144615,3,15,0,-295.749,0.138381,0.36958,0.0661347,0.0489017,0.346042
296.881,0.977599,0.144615,5,31,0,-294.448,0.190643,0.361734,-0.0187475,0.0532986,0.361998
296.917,0.999881,0.144615,5,31,0,-295.876,0.283554,0.24967,0.00844681,0.0382379,0.344112
296.855,0.997255,0.144615,4,31,0,-294.775,0.110858,0.408113,-0.00274053,0.0590893,0.341518
294.371,0.974011,0.144615,5,31,0,-291.954,0.355958,0.19155,-0.00651245,0.0317247,0.355244
295.846,0.953621,0.144615,5,31,0,-291.36,0.0611627,0.398121,0.0358243,0.0640225,0.344656
296.907,0.95003,0.144615,5,31,0,-294.208,0.202986,0.410993,-0.0161091,0.0374921,0.35085
296.64,0.995619,0.144615,5,31,0,-295.284,0.176335,0.446708,0.00685392,0.0376868,0.353808
296.831,0.999199,0.144615,5,31,0,-296.111,0.15161,0.278076,0.0263761,0.0614959,0.350311
296.595,0.999609,0.144615,5,31,0,-295.474,0.244482,0.377707,-0.0164982,0.0331524,0.349294
296.317,0.893871,0.144615,5,31,0,-292.916,0.0673994,0.455142,0.0182551,0.0588803,0.352408
296.087,0.998964,0.144615,4,15,0,-295.783,0.0723354,0.455692,0.00949664,0.0609414,0.350934
298.107,0.846674,0.144615,4,31,0,-293.526,0.163425,0.383932,-0.00242817,0.0515396,0.351566
295.517,0.985396,0.144615,3,15,0,-294.6,0.169576,0.442686,-0.057216,0.0506473,0.356969
297.26,0.941542,0.144615,4,15,0,-294.163,0.175021,0.403781,0.0214304,0.0446798,0.347839
297.183,0.982594,0.144615,5,31,0,-296.383,0.159542,0.331645,0.00730484,0.0514921,0.354984
295.88,0.998761,0.144615,4,15,0,-295.505,0.136364,0.352702,0.00664491,0.0645696,0.346264
296.624,0.99757,0.144615,5,31,0,-295.423,0.118587,0.346294,0.0105966,0.0647193,0.347324
292.351,0.834218,0.144615,4,31,0,-290.897,0.231349,0.366386,0.0748076,0.0267669,0.350041
290.51,0.99434,0.144615,5,31,0,-287.201,0.150604,0.326508,-0.0400049,0.0716387,0.380127
291.231,0.694069,0.144615,4,15,0,-284.041,0.172895,0.39208,-0.0320606,0.0574344,0.386108
292.971,0.968982,0.144615,4,15,0,-289.187,0.168581,0.33812,0.0221364,0.0561096,0.381691
293.751,0.999364,0.144615,4,15,0,-291.887,0.136184,0.35011,0.0493096,0.0554644,0.378295
296.775,0.996262,0.144615,5,31,0,-292.141,0.173765,0.396632,-0.0343259,0.0537254,0.358828
297.102,0.999644,0.144615,4,31,0,-295.901,0.199457,0.386532,-0.0463997,0.0501945,0.350234
