# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lr_model_punitive_model
# start_datetime = 2025-03-13 21:35:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/yg/6cnm4nrd727_h_wts71sw3j40000gn/T/Rtmpj1WxrP/standata-700158b1c6c4.json
# init = 2 (Default)
# random
#   seed = 1457
# output
#   file = /Users/Juan/git/Bayesian_Modeling/Assignments/HW1/lr_model_sampling_outputs/lr_model_punitive_run-2.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = -1 (Default)
#   profile_file = /Users/Juan/git/Bayesian_Modeling/Assignments/HW1/lr_model_sampling_outputs/lr_model_punitive-profile-2.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lr_model_punitive_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,sigma
# Adaptation terminated
# Step size = 0.152048
# Diagonal elements of inverse mass matrix:
# 0.00390571, 0.0054654, 0.00121953, 8.78946e-05, 0.000891193
296.651,0.958527,0.152048,4,15,0,-295.104,0.110115,0.408394,0.0204591,0.0564607,0.365956
293.011,0.918908,0.152048,4,31,0,-290.441,0.167592,0.268244,0.00265984,0.064595,0.380268
296.415,0.908308,0.152048,5,31,0,-290.173,0.0813655,0.422262,0.02608,0.0534506,0.347554
297.777,0.998058,0.152048,5,31,0,-296.063,0.227571,0.279226,0.00196859,0.0442152,0.350122
297.741,0.99919,0.152048,4,15,0,-295.258,0.231482,0.329461,-0.0100639,0.0468975,0.35776
297.257,0.96074,0.152048,5,31,0,-296.694,0.199205,0.317005,0.00832108,0.0439438,0.360086
296.039,0.996568,0.152048,4,15,0,-294.036,0.243691,0.227736,-0.0142885,0.0534975,0.367338
297.459,0.927918,0.152048,5,31,0,-293.821,0.167095,0.407557,-0.0204906,0.0483813,0.360046
297.154,0.956088,0.152048,4,15,0,-296.095,0.208148,0.399891,-0.00903278,0.0405276,0.361522
295.088,0.860536,0.152048,5,31,0,-292.544,0.241102,0.238666,-0.0234519,0.049126,0.335185
294.483,0.999548,0.152048,4,23,0,-293.605,0.168215,0.390849,0.00463695,0.0396529,0.370805
296.193,0.990445,0.152048,4,31,0,-293.065,0.150563,0.376883,-0.00284019,0.0605704,0.341542
296.923,1,0.152048,5,31,0,-295.04,0.185529,0.369136,-0.0045937,0.0533755,0.358677
295.425,0.976988,0.152048,4,15,0,-293.118,0.160484,0.377553,0.0190454,0.0425058,0.371395
