# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lr_model_punitive_model
# start_datetime = 2025-03-18 19:28:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/yg/6cnm4nrd727_h_wts71sw3j40000gn/T/Rtmpi04oWE/standata-cac65c3f9136.json
# init = 2 (Default)
# random
#   seed = 1457
# output
#   file = /Users/Juan/git/Bayesian_Modeling/Assignments/HW1/lr_model_sampling_outputs/lr_model_punitive_run-4.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = -1 (Default)
#   profile_file = /Users/Juan/git/Bayesian_Modeling/Assignments/HW1/lr_model_sampling_outputs/lr_model_punitive-profile-4.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lr_model_punitive_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,sigma
# Adaptation terminated
# Step size = 0.19314
# Diagonal elements of inverse mass matrix:
# 0.00379066, 0.00511209, 0.00149912, 7.57516e-05, 0.000783534
295.753,0.647996,0.19314,4,15,0,-292.659,0.13287,0.374255,0.0668411,0.0506,0.361298
297.479,0.683887,0.19314,4,15,0,-292.922,0.126004,0.419793,0.0227889,0.0465253,0.349663
297.674,0.989652,0.19314,4,31,0,-296.043,0.249062,0.320959,-0.0074212,0.0416949,0.342447
295.571,0.757124,0.19314,4,19,0,-294.629,0.141613,0.38261,-0.0032502,0.0483507,0.359915
293.082,0.884632,0.19314,3,11,0,-289.834,0.158695,0.472834,-0.0133804,0.0507662,0.36061
293.381,0.965377,0.19314,5,31,0,-290.611,0.196863,0.248349,0.0338863,0.0441386,0.341624
295.474,1,0.19314,3,15,0,-292.592,0.247874,0.286707,0.0259652,0.0460071,0.345111
296.162,0.993641,0.19314,3,15,0,-292.104,0.245463,0.224822,-0.0224739,0.0564754,0.338357
297.139,0.978147,0.19314,4,15,0,-294.85,0.216692,0.238786,0.033883,0.0494331,0.35447
297.124,0.757223,0.19314,4,15,0,-294.283,0.223795,0.260294,0.00143993,0.0558446,0.346024
295.764,0.999488,0.19314,4,15,0,-294.394,0.311291,0.255836,-0.0644945,0.0426992,0.346459
296.126,0.866396,0.19314,4,31,0,-293.688,0.18288,0.341549,0.0253087,0.0406602,0.362938
296.211,0.838354,0.19314,4,31,0,-293.561,0.252183,0.256353,0.0154807,0.0379345,0.351759
297.67,0.991918,0.19314,4,15,0,-295.808,0.251938,0.325581,-0.0120418,0.0383747,0.348403
296.902,0.980034,0.19314,4,15,0,-295.345,0.129581,0.342302,0.0066178,0.0633631,0.346083
294.748,0.988681,0.19314,5,31,0,-292.813,0.24882,0.255611,0.0554127,0.0369442,0.333483
295.444,0.904281,0.19314,4,15,0,-293.076,0.238061,0.308061,-0.0663029,0.0541723,0.362555
297.165,0.932006,0.19314,4,15,0,-294.223,0.228685,0.251637,-0.0149263,0.052582,0.354163
292.173,0.949426,0.19314,4,15,0,-291.252,0.332665,0.173606,-0.0891022,0.0534639,0.363858
293.26,0.991264,0.19314,5,31,0,-289.842,0.26343,0.237538,-0.0871073,0.060242,0.354154
295.951,0.999084,0.19314,4,15,0,-291.599,0.275239,0.251518,-0.0373645,0.0454862,0.363634
297.363,0.942585,0.19314,5,31,0,-294.356,0.143802,0.392151,0.0137681,0.0521027,0.335678
297.16,0.87075,0.19314,4,15,0,-296.006,0.142696,0.413748,0.0161486,0.0491518,0.335537
297.088,0.797994,0.19314,5,31,0,-295.324,0.181042,0.379171,0.00145224,0.0411733,0.343873
293.575,0.620978,0.19314,3,11,0,-290.191,0.178348,0.30624,-0.0346512,0.0535807,0.349004
297.501,0.987343,0.19314,3,11,0,-293.86,0.208288,0.30004,0.00588518,0.045722,0.34026
296.842,0.993467,0.19314,4,31,0,-295.108,0.165343,0.370057,-0.00468632,0.0495624,0.332457
296.742,0.689175,0.19314,4,31,0,-292.989,0.109795,0.43835,-0.00579131,0.0528464,0.346914
297.263,0.917603,0.19314,2,3,0,-296.12,0.119094,0.440209,-0.00498642,0.0528532,0.348441
296.848,0.713138,0.19314,4,15,0,-294.336,0.128198,0.397822,0.0175942,0.0502308,0.33436
295.084,0.939519,0.19314,4,15,0,-293.009,0.11271,0.433671,0.0178548,0.0558254,0.330261
293.848,0.99918,0.19314,4,15,0,-293.305,0.0924939,0.436287,0.00551463,0.0628381,0.330318
296.924,0.986944,0.19314,3,7,0,-293.671,0.101913,0.409364,0.0324532,0.0533119,0.337163
293.015,0.845911,0.19314,4,15,0,-289.215,0.124762,0.368853,-0.0264593,0.07065,0.335926
292.896,0.993981,0.19314,4,15,0,-290.314,0.18005,0.323373,-0.0562153,0.0694239,0.340354
291.831,0.964283,0.19314,4,31,0,-289.185,0.13135,0.341494,-0.0523915,0.0689591,0.335209
295.822,1,0.19314,4,15,0,-289.695,0.172831,0.292165,0.0146636,0.0525071,0.332012
296.366,0.979578,0.19314,3,7,0,-295.331,0.163837,0.315765,0.020533,0.0503713,0.333814
297.666,0.978922,0.19314,4,15,0,-295.945,0.208178,0.316454,0.0266946,0.0455788,0.338983
295.827,0.993375,0.19314,4,15,0,-295.135,0.252981,0.362934,-0.0686764,0.0420724,0.351954
294.666,0.838202,0.19314,4,15,0,-293.725,0.278773,0.387904,-0.0637038,0.0386695,0.351154
295.748,0.978799,0.19314,5,31,0,-292.02,0.177103,0.363783,0.00900948,0.0422901,0.331467
296.818,0.914748,0.19314,4,15,0,-293.729,0.202661,0.353107,-0.0380796,0.0551117,0.341837
295.663,0.865072,0.19314,4,15,0,-293.876,0.177659,0.246975,0.0505775,0.0498893,0.353533
297.918,0.999392,0.19314,4,15,0,-295.666,0.234092,0.338934,-0.0104171,0.0435213,0.345135
297.098,0.971157,0.19314,4,15,0,-294.599,0.220017,0.36089,-0.00675911,0.037382,0.342905
294.765,0.924498,0.19314,4,15,0,-293.293,0.244034,0.404006,-0.0296419,0.0382338,0.334285
292.008,0.658712,0.19314,4,15,0,-290.118,0.214928,0.186911,0.0301401,0.0483084,0.35686
297.895,0.949228,0.19314,4,15,0,-291.86,0.182315,0.327252,0.027023,0.0455941,0.341472
298.336,0.996671,0.19314,3,15,0,-296.235,0.200559,0.334369,-0.00190209,0.0499947,0.347994
297.73,0.800025,0.19314,2,7,0,-296.729,0.193488,0.299098,0.0102647,0.0482985,0.348919
