# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lr_model_model
# start_datetime = 2025-03-13 21:14:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yg/6cnm4nrd727_h_wts71sw3j40000gn/T/Rtmpj1WxrP/standata-7001327db8bd.json
# init = 2 (Default)
# random
#   seed = 156914137
# output
#   file = /Users/Juan/git/Bayesian_Modeling/Lectures/Code-20250312/stan_intro_outputs/lr_model-1.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = -1 (Default)
#   profile_file = /Users/Juan/git/Bayesian_Modeling/Lectures/Code-20250312/stan_intro_outputs/lr_model-profile-1.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lr_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.123885
# Diagonal elements of inverse mass matrix:
# 2.4809e-05, 3.12687e-05, 4.67708e-05
40954.9,0.976841,0.123885,3,7,0,-40952.8,0.00941559,0.857856,0.0923828
40955.6,0.946442,0.123885,4,15,0,-40953.6,0.00851154,0.858505,0.09247
40957.1,0.945316,0.123885,3,15,0,-40952,0.00917328,0.859954,0.0936538
40957.2,0.993317,0.123885,4,15,0,-40956.6,0.00905076,0.855282,0.0934262
40957.5,0.995333,0.123885,3,15,0,-40956.6,0.00905216,0.856926,0.0931095
40955.8,0.911787,0.123885,4,15,0,-40954.5,0.00902466,0.862533,0.0938159
40957.1,0.995178,0.123885,3,11,0,-40952.4,0.00871991,0.855279,0.093298
40957.2,0.910729,0.123885,3,15,0,-40956.2,0.00921478,0.860009,0.0934562
40957.2,0.91521,0.123885,3,11,0,-40955.4,0.00939652,0.856003,0.0932424
40956,0.619768,0.123885,2,3,0,-40954.6,0.00797749,0.855528,0.0932733
40957.5,0.998755,0.123885,3,11,0,-40955.2,0.00895409,0.859643,0.0934513
40956,0.652832,0.123885,1,3,0,-40955.2,0.00766396,0.859334,0.0934357
40956.1,0.995971,0.123885,3,15,0,-40953.9,0.0084467,0.860398,0.0926793
40955.5,0.776495,0.123885,1,3,0,-40954.7,0.00955821,0.860409,0.0927112
40955.5,0.992935,0.123885,4,15,0,-40954.4,0.00817067,0.85446,0.0937736
40956.1,0.892526,0.123885,2,3,0,-40954.1,0.00844417,0.854325,0.0936486
40956.9,1,0.123885,3,7,0,-40955.8,0.008354,0.857547,0.0937724
40957.5,0.99968,0.123885,4,15,0,-40956.8,0.00869466,0.859483,0.0935305
40957.3,0.965738,0.123885,3,11,0,-40956.6,0.00867604,0.855922,0.0934847
40956.4,0.859963,0.123885,2,5,0,-40956,0.00991999,0.856973,0.0934821
40955.6,0.998942,0.123885,3,15,0,-40954.6,0.00793625,0.856325,0.0938664
40956.9,0.985647,0.123885,4,23,0,-40954.5,0.0089037,0.861447,0.0931702
40957.5,0.633822,0.123885,2,7,0,-40953,0.00863599,0.859906,0.0934432
40956.4,0.951125,0.123885,4,15,0,-40956.3,0.00916639,0.861612,0.093652
40957,0.993866,0.123885,3,15,0,-40955,0.00822651,0.860563,0.0932379
40957.4,0.995406,0.123885,4,23,0,-40954.7,0.0086674,0.86023,0.0934091
40957.6,0.997498,0.123885,3,11,0,-40957,0.00900778,0.857158,0.0934365
40957.2,0.972099,0.123885,4,19,0,-40957,0.00854458,0.858826,0.0929679
40956.8,0.939159,0.123885,4,15,0,-40956.3,0.00830716,0.860477,0.0929716
40956.2,0.934924,0.123885,4,15,0,-40954.6,0.00963416,0.853963,0.0932916
40956.1,0.939105,0.123885,3,15,0,-40953.2,0.00814122,0.862569,0.0931363
40955.4,0.979017,0.123885,3,7,0,-40955.1,0.0092317,0.863152,0.0930796
40954.7,0.998568,0.123885,4,15,0,-40954.1,0.00843041,0.853122,0.0939604
40956.5,0.949753,0.123885,4,15,0,-40953.3,0.0079121,0.857203,0.0933491
40957.4,0.996478,0.123885,4,19,0,-40954.1,0.00898382,0.85733,0.0930035
40956.8,0.982368,0.123885,4,15,0,-40956.3,0.00853433,0.861414,0.0930838
40956.8,0.998126,0.123885,3,7,0,-40956.8,0.00873807,0.861431,0.0930944
40957.2,0.98326,0.123885,4,15,0,-40955.5,0.00897116,0.860796,0.0933548
40956.8,0.843437,0.123885,2,3,0,-40956.1,0.00947653,0.860077,0.0933129
40955.7,0.996834,0.123885,4,15,0,-40954.5,0.00876365,0.861893,0.0926919
40955.4,0.965535,0.123885,4,15,0,-40953.9,0.00938071,0.855963,0.0925125
40955.3,0.907878,0.123885,3,7,0,-40953.8,0.00924187,0.857418,0.0924136
40956.9,0.984791,0.123885,4,15,0,-40954.4,0.00842264,0.860378,0.0929791
40957.1,0.898892,0.123885,4,15,0,-40955.1,0.00904644,0.860947,0.0933498
40957,0.727714,0.123885,5,31,0,-40953.9,0.00912962,0.859526,0.092952
40956.5,0.984078,0.123885,4,15,0,-40955.9,0.00877344,0.856128,0.0927329
40956.7,0.929758,0.123885,4,15,0,-40955.5,0.00803837,0.860771,0.0933095
40957.4,0.999275,0.123885,4,15,0,-40956.5,0.00883134,0.860206,0.0934312
40955.2,0.868748,0.123885,4,15,0,-40954.3,0.00952444,0.861216,0.0939932
40954.2,0.982503,0.123885,2,3,0,-40954,0.00770867,0.862467,0.0940909
40956.6,0.922023,0.123885,3,11,0,-40952.5,0.00952038,0.855799,0.0937766
40956.4,0.995712,0.123885,2,3,0,-40956.2,0.00848026,0.854896,0.0937179
40954.7,0.714642,0.123885,2,5,0,-40953.2,0.00803386,0.853679,0.0937691
40953.4,0.889837,0.123885,4,15,0,-40952.6,0.0070371,0.862176,0.0932237
40956.6,1,0.123885,2,3,0,-40953.7,0.00914963,0.861452,0.0931075
40957.4,1,0.123885,4,15,0,-40956,0.00886721,0.858352,0.0937393
40957.2,0.956964,0.123885,4,31,0,-40956.5,0.00932186,0.856233,0.093102
40957.5,0.989038,0.123885,3,15,0,-40956.8,0.00919147,0.857635,0.0935182
40953.7,0.737641,0.123885,3,15,0,-40951,0.00790574,0.854958,0.092518
40953.8,0.996011,0.123885,3,11,0,-40950.9,0.00743005,0.864192,0.0935222
40954.8,0.991572,0.123885,3,15,0,-40949.7,0.00974168,0.861768,0.0928771
40956.6,0.986878,0.123885,2,3,0,-40954.7,0.00875939,0.861424,0.0929409
40957.5,0.999877,0.123885,4,15,0,-40956.5,0.00891557,0.85852,0.0930494
40957,0.989787,0.123885,4,31,0,-40955.8,0.00862543,0.860851,0.0936563
40956.9,0.941631,0.123885,4,15,0,-40956.4,0.0081166,0.859883,0.0935821
40956.3,0.829789,0.123885,3,11,0,-40954.2,0.00923424,0.860749,0.0938794
40955.3,0.88961,0.123885,4,15,0,-40954.4,0.0079558,0.854711,0.0930889
40956.7,1,0.123885,4,15,0,-40955.3,0.00807214,0.859216,0.0929899
40957.2,0.990528,0.123885,1,3,0,-40956.5,0.00881689,0.859362,0.0929653
40957.5,0.971472,0.123885,3,15,0,-40955.9,0.00867626,0.86018,0.0933425
40955.3,0.839484,0.123885,3,15,0,-40954.3,0.00951279,0.861793,0.0928734
40955.4,1,0.123885,4,15,0,-40954.7,0.00830703,0.853482,0.0936208
40956.4,0.887551,0.123885,3,15,0,-40952.9,0.00932911,0.861381,0.0935612
