# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lr_model_model
# start_datetime = 2025-03-13 21:14:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/yg/6cnm4nrd727_h_wts71sw3j40000gn/T/Rtmpj1WxrP/standata-7001327db8bd.json
# init = 2 (Default)
# random
#   seed = 156914137
# output
#   file = /Users/Juan/git/Bayesian_Modeling/Lectures/Code-20250312/stan_intro_outputs/lr_model-2.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = -1 (Default)
#   profile_file = /Users/Juan/git/Bayesian_Modeling/Lectures/Code-20250312/stan_intro_outputs/lr_model-profile-2.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lr_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.134944
# Diagonal elements of inverse mass matrix:
# 2.47771e-05, 3.23758e-05, 4.86482e-05
40956.8,0.995477,0.134944,2,3,0,-40956.7,0.00891684,0.861445,0.0931064
40955.6,0.980179,0.134944,2,7,0,-40955.4,0.00818007,0.863092,0.0930196
40956.2,0.954963,0.134944,4,15,0,-40954.2,0.0094193,0.853509,0.0934457
40957.5,0.993474,0.134944,3,15,0,-40954.1,0.0085872,0.858201,0.0930952
40957.3,0.978365,0.134944,4,15,0,-40957.1,0.00839322,0.857705,0.0935555
40957.1,0.987309,0.134944,3,15,0,-40954.7,0.00854565,0.855986,0.0935497
40956.8,0.90228,0.134944,3,11,0,-40955.9,0.00860393,0.861424,0.0936702
40957.4,0.966384,0.134944,3,7,0,-40956.5,0.00843236,0.859777,0.0934466
40956.2,0.914568,0.134944,4,15,0,-40955.1,0.00857034,0.858373,0.0926101
40956.7,0.989267,0.134944,3,15,0,-40954.7,0.00870624,0.854378,0.0933123
40956.8,0.992873,0.134944,3,11,0,-40955.6,0.00822744,0.861308,0.0933433
40956.8,0.989194,0.134944,1,3,0,-40956.4,0.00872745,0.861869,0.0933582
40956.5,0.842691,0.134944,2,3,0,-40955.5,0.0087568,0.862371,0.0932942
40956.7,0.997161,0.134944,2,3,0,-40956.4,0.0085231,0.861985,0.093301
40955.8,0.95425,0.134944,4,15,0,-40954.6,0.00938605,0.858151,0.0941521
40955.9,0.792837,0.134944,4,15,0,-40953.5,0.00771355,0.86012,0.0930281
40956.4,0.996339,0.134944,4,15,0,-40955.1,0.00921823,0.857699,0.0926663
40956.5,0.997223,0.134944,3,7,0,-40956.2,0.00846088,0.858245,0.0927293
40957,0.965978,0.134944,4,15,0,-40956.1,0.00893926,0.856202,0.0929061
40956.5,0.92741,0.134944,2,3,0,-40956.4,0.00948354,0.856175,0.0928546
40954.9,0.810881,0.134944,4,15,0,-40954.3,0.0101861,0.857058,0.0928383
40954,0.92059,0.134944,4,15,0,-40953.4,0.0071682,0.860116,0.0937509
40955.9,0.998644,0.134944,3,7,0,-40954.2,0.00950314,0.861285,0.0937426
40956.8,0.995369,0.134944,3,15,0,-40955.4,0.00975146,0.857306,0.0932852
40957.2,0.891977,0.134944,2,7,0,-40955.8,0.00822724,0.858306,0.0934614
40957.2,1,0.134944,2,7,0,-40957.2,0.00948861,0.857654,0.0934173
40956.8,0.858534,0.134944,3,11,0,-40955,0.00863469,0.859766,0.0928174
40956.8,0.95162,0.134944,5,31,0,-40955.6,0.00882218,0.857615,0.0927451
40955.4,0.773241,0.134944,4,15,0,-40954.4,0.0101678,0.855498,0.0931193
40954.9,0.963713,0.134944,3,15,0,-40952.9,0.00991748,0.852476,0.0935415
